cycleCount,maxClientsInQueue,maxClientWaitTime,meanClientWaitTime,totalClientsServed,totalWaitTime,totalUsageTime,averageServiceTimePerClient,max-clien,min-client,max-server,min-server,initial number of simulated clients,number of simulated servers,distribution for all services time,distribution for i-nth services time,distribution for client arrival time,duration
637,2,10,0.1639344262295081,122,20,722.0,5.754098360655738,8,4,11,1,4,3,uniform,normal,exponential,10
637,56,29,3.4220183486238533,109,373,2178.03960055289,16.559996335347616,3,3,18,2,6,3,exponential,normal,normal,10
626,59,40,2.17816091954023,174,379,738.0191665269733,2.063328543258468,7,6,7,5,0,1,exponential,exponential,exponential,10
638,1,2,0.0131578947368421,152,2,144.69314596055034,0.9387706971088838,7,4,15,14,7,6,exponential,poisson,exponential,10
635,1,0,0.0,73,0,435.0,5.958904109589041,9,1,7,6,9,10,normal,exponential,exponential,10
638,1,0,0.0,214,0,1027.0,4.799065420560748,3,2,9,2,2,10,normal,exponential,uniform,10
634,1,0,0.0,68,0,235.94920442113985,3.4698412414873503,9,9,7,4,5,6,exponential,exponential,poisson,10
641,1,2,0.0135135135135135,148,2,1396.0,9.41891891891892,4,1,13,7,6,7,uniform,poisson,exponential,10
600,1,0,0.0,122,0,1310.0,10.737704918032788,5,3,18,3,0,5,poisson,exponential,poisson,10
617,6,12,0.5857142857142857,70,41,297.0,3.657142857142857,9,9,6,2,9,3,uniform,normal,normal,10
541,1,0,0.0,81,0,324.0,4.0,8,5,5,4,7,7,uniform,normal,poisson,10
578,1,0,0.0,56,0,312.0,5.571428571428571,10,9,9,2,3,9,uniform,exponential,poisson,10
635,19,160,6.367469879518072,166,1057,3381.0,14.0,4,2,14,14,2,4,normal,normal,exponential,10
630,4,13,0.2660550458715596,218,58,2078.0,9.26605504587156,3,1,13,6,6,5,normal,normal,poisson,10
619,3,8,0.272189349112426,169,46,2947.0,17.16568047337278,4,2,20,15,4,7,poisson,uniform,exponential,10
634,5,20,0.6666666666666666,93,62,637.0,6.182795698924731,9,5,8,4,8,3,poisson,exponential,uniform,10
636,217,7,1.0087719298245614,114,115,1285.0,10.263157894736842,1,1,18,3,2,2,poisson,poisson,poisson,10
631,3,6,0.112781954887218,133,15,617.8700867415079,4.532857795048932,5,4,6,1,8,5,exponential,exponential,normal,10
625,1,0,0.0,104,0,1543.0,14.836538461538462,5,5,19,12,0,9,uniform,normal,uniform,10
642,454,0,0.0,188,0,348.7732528509706,1.8551768768668648,1,1,15,13,0,1,exponential,uniform,exponential,10
642,6,226,3.518181818181818,220,774,3616.0,12.918181818181818,4,1,18,9,3,5,normal,poisson,normal,10
637,4,9,0.3875,80,31,657.0,7.825,10,7,12,4,9,5,poisson,uniform,normal,10
629,3,5,0.0454545454545454,242,11,874.0,3.566115702479338,4,3,5,3,4,3,normal,exponential,exponential,10
643,183,13,1.298780487804878,164,213,2648.0,14.847560975609756,1,1,17,14,8,4,poisson,uniform,poisson,10
640,1,0,0.0,149,0,745.0,5.0,7,4,5,5,3,10,uniform,poisson,exponential,10
617,6,33,0.9076923076923076,130,118,1528.0,10.846153846153848,6,3,17,4,10,5,poisson,exponential,normal,10
626,1,0,0.0,117,0,1397.806501113996,11.947064112085435,7,3,15,2,8,10,exponential,uniform,exponential,10
629,1,0,0.0,176,0,1063.8470755847168,6.044585656731345,8,6,11,5,6,8,exponential,normal,exponential,10
630,4,28,0.8105263157894737,95,77,1109.0,10.863157894736842,7,6,15,6,6,3,poisson,normal,normal,10
637,2,7,0.0507614213197969,197,10,1965.0,9.923857868020304,4,1,14,7,6,6,normal,exponential,poisson,10
632,96,29,1.579646017699115,226,357,1923.5071747530671,6.931447675898527,1,1,12,5,5,3,exponential,uniform,normal,10
640,5,10,0.4523076923076923,325,147,4866.0,14.52,2,1,16,14,6,8,uniform,poisson,uniform,10
631,1,0,0.0,106,0,937.0,8.839622641509434,6,5,17,2,1,7,normal,exponential,uniform,10
636,6,17,0.5564516129032258,248,138,1270.0,4.564516129032258,5,4,8,1,7,3,poisson,normal,exponential,10
639,5,14,0.244047619047619,168,41,562.0,3.1011904761904763,4,3,5,1,8,3,poisson,exponential,normal,10
600,1,0,0.0,109,0,706.0,6.477064220183486,10,5,8,6,4,9,uniform,poisson,exponential,10
